nanme,configuration
pos_0001_towel_0002_image_0001.png,0
pos_0001_towel_0002_image_0002.png,0
pos_0001_towel_0002_image_0003.png,0
pos_0001_towel_0002_image_0004.png,0
pos_0001_towel_0002_image_0005.png,0
pos_0001_towel_0002_image_0006.png,0
pos_0001_towel_0002_image_0007.png,0
pos_0001_towel_0002_image_0008.png,0
pos_0001_towel_0002_image_0009.png,0
pos_0001_towel_0002_image_0010.png,0
pos_0001_towel_0002_image_0011.png,0
pos_0001_towel_0002_image_0012.png,0
pos_0001_towel_0002_image_0013.png,0
pos_0001_towel_0002_image_0014.png,0
pos_0001_towel_0002_image_0015.png,0
pos_0001_towel_0002_image_0016.png,0
pos_0001_towel_0002_image_0017.png,0
pos_0001_towel_0002_image_0018.png,0
pos_0001_towel_0002_image_0019.png,0
pos_0001_towel_0002_image_0020.png,0
pos_0001_towel_0002_image_0021.png,0
pos_0001_towel_0002_image_0022.png,0
pos_0001_towel_0002_image_0023.png,0
pos_0001_towel_0002_image_0024.png,0
pos_0001_towel_0002_image_0025.png,0
pos_0001_towel_0002_image_0026.png,0
pos_0001_towel_0002_image_0027.png,0
pos_0001_towel_0002_image_0028.png,0
pos_0001_towel_0002_image_0029.png,0
pos_0001_towel_0002_image_0030.png,0
pos_0001_towel_0002_image_0031.png,0
pos_0001_towel_0002_image_0032.png,0
pos_0001_towel_0002_image_0033.png,0
pos_0001_towel_0002_image_0034.png,0
pos_0001_towel_0002_image_0035.png,0
pos_0001_towel_0002_image_0036.png,0
pos_0001_towel_0002_image_0037.png,0
pos_0001_towel_0002_image_0038.png,0
pos_0001_towel_0002_image_0039.png,0
pos_0001_towel_0002_image_0040.png,0
pos_0001_towel_0002_image_0041.png,0
pos_0001_towel_0002_image_0042.png,0
pos_0001_towel_0002_image_0043.png,0
pos_0001_towel_0002_image_0044.png,0
pos_0001_towel_0002_image_0045.png,0
pos_0001_towel_0002_image_0046.png,0
pos_0001_towel_0002_image_0047.png,0
pos_0001_towel_0002_image_0048.png,0
pos_0001_towel_0002_image_0049.png,0
pos_0001_towel_0002_image_0050.png,0
pos_0001_towel_0002_image_0051.png,0
pos_0001_towel_0002_image_0052.png,0
pos_0001_towel_0002_image_0053.png,0
pos_0001_towel_0002_image_0054.png,0
pos_0001_towel_0002_image_0055.png,0
pos_0001_towel_0002_image_0056.png,0
pos_0001_towel_0002_image_0057.png,0
pos_0001_towel_0002_image_0058.png,0
pos_0001_towel_0002_image_0059.png,0
pos_0001_towel_0002_image_0060.png,0
pos_0001_towel_0002_image_0061.png,0
pos_0001_towel_0002_image_0062.png,0
pos_0001_towel_0002_image_0063.png,0
pos_0001_towel_0002_image_0064.png,0
pos_0001_towel_0002_image_0065.png,0
pos_0001_towel_0002_image_0066.png,0
pos_0001_towel_0002_image_0067.png,0
pos_0001_towel_0002_image_0068.png,0
pos_0001_towel_0002_image_0069.png,0
pos_0001_towel_0002_image_0070.png,0
pos_0001_towel_0002_image_0071.png,0
pos_0001_towel_0002_image_0072.png,0
pos_0001_towel_0002_image_0073.png,0
pos_0001_towel_0002_image_0074.png,0
